season,date,team_1,team_2,score_1,score_2,location
1982,"Fri, Oct 30, 1981",Golden State Warriors,Denver Nuggets,121,134,
1982,"Fri, Oct 30, 1981",Dallas Mavericks,Utah Jazz,89,105,
1982,"Fri, Oct 30, 1981",Phoenix Suns,Portland Trail Blazers,95,103,
1982,"Fri, Oct 30, 1981",Cleveland Cavaliers,Philadelphia 76ers,104,128,
1982,"Fri, Oct 30, 1981",New York Knicks,New Jersey Nets,103,99,
1982,"Fri, Oct 30, 1981",Houston Rockets,Los Angeles Lakers,113,112,
1982,"Fri, Oct 30, 1981",San Antonio Spurs,Kansas City Kings,113,102,
1982,"Fri, Oct 30, 1981",Chicago Bulls,Indiana Pacers,94,96,
1982,"Fri, Oct 30, 1981",Milwaukee Bucks,Detroit Pistons,113,118,
1982,"Fri, Oct 30, 1981",Washington Bullets,Boston Celtics,100,124,
1982,"Sat, Oct 31, 1981",Philadelphia 76ers,Atlanta Hawks,108,106,
1982,"Sat, Oct 31, 1981",Detroit Pistons,Chicago Bulls,119,106,
1982,"Sat, Oct 31, 1981",Kansas City Kings,Dallas Mavericks,89,95,
1982,"Sat, Oct 31, 1981",Utah Jazz,Golden State Warriors,91,106,
1982,"Sat, Oct 31, 1981",Boston Celtics,Milwaukee Bucks,103,119,
1982,"Sat, Oct 31, 1981",Indiana Pacers,New York Knicks,106,99,
1982,"Sat, Oct 31, 1981",Denver Nuggets,San Antonio Spurs,120,145,
1982,"Sat, Oct 31, 1981",Houston Rockets,San Diego Clippers,110,125,
1982,"Sat, Oct 31, 1981",Phoenix Suns,Seattle SuperSonics,84,94,
1984,"Fri, Oct 28, 1983",Utah Jazz,Denver Nuggets,125,139,
1984,"Fri, Oct 28, 1983",Boston Celtics,Detroit Pistons,121,127,
1984,"Fri, Oct 28, 1983",Los Angeles Lakers,Kansas City Kings,117,107,
1984,"Fri, Oct 28, 1983",Indiana Pacers,Milwaukee Bucks,83,104,
1984,"Fri, Oct 28, 1983",Atlanta Hawks,New Jersey Nets,108,126,
1984,"Fri, Oct 28, 1983",Washington Bullets,Philadelphia 76ers,114,117,
1984,"Fri, Oct 28, 1983",San Diego Clippers,Portland Trail Blazers,93,107,
1984,"Fri, Oct 28, 1983",Golden State Warriors,Seattle SuperSonics,110,109,
1984,"Fri, Oct 28, 1983",New York Knicks,Cleveland Cavaliers,113,106,
1984,"Sat, Oct 29, 1983",New Jersey Nets,Chicago Bulls,97,104,
